Station Name,District,Main Basin,Sub River Basin,Last Updated,Current Water Level,Normal Threshold,Alert Threshold,Warning Threshold,Danger Threshold,Status
Barrage,Kuching,Sungai Sarawak,Sg. Sarawak,21/01/2022 16:45,-1.34,0.8,2.8,2.92,3.2,Normal
Sungai Tengah,Kuching,Sungai Sarawak,Sg. Tengah,21/01/2022 16:45,4.59,5.0,7.1,7.28,7.7,Normal
Malihah,Kuching,Sungai Sarawak,Sg. Minjap,21/01/2022 16:45,3.82,3.42,6.8,7.1,7.4,Normal
Kampung Rayu,Kuching,Sungai Sarawak,Sg. Rayu,21/01/2022 16:45,2.35,2.3,10.3,10.9,11.5,Normal
Rampangi,Kuching,Sungai Sarawak,Sg. Santubong,21/01/2022 16:45,0.26,-0.75,2.1,3.1,3.4,Normal
Sibu Laut,Kuching,Sungai Sarawak,Sg. Sibu,21/01/2022 16:45,-0.87,1.2,2.5,2.6,2.8,Normal
Kampung Salak,Kuching,Sungai Sarawak,Btg. Salak,21/01/2022 16:45,-0.08,1.35,3.4,3.6,3.8,Normal
Pulau Lakei,Kuching,Sungai Sarawak,Laut,21/01/2022 16:45,0.63,3.0,3.8,4.1,4.5,Normal
Batu Gong,Serian,Batang Samarahan,Sg. Tuang,21/01/2022 16:45,3.63,2.41,4.56,5.9,6.5,Normal
Krusen,Serian,Batang Sadong,Sg. Batang Kayan,21/01/2022 16:45,11.03,11.93,15.2,16.3,17.4,Normal
Meringgu,Serian,Batang Sadong,Sg. Kedup,21/01/2022 16:45,12.37,11.92,15.0,16.0,16.5,Normal
Serian,Serian,Batang Sadong,Sg. Batang Kayan,21/01/2022 16:45,5.01,4.49,8.3,8.51,9.0,Normal
Mid Sungai Kuap,Samarahan  ,Sungai Sarawak,Sg. Kuap,21/01/2022 16:45,0.98,0.6,3.0,3.3,3.8,Normal
Asajaya Water Intake,Samarahan  ,Batang Samarahan,Sg. Moyan,21/01/2022 16:30,2.73,1.03,2.6,3.2,3.8,Danger
Sabal Kruin,Samarahan  ,Batang Sadong,Sg. Simunjan,21/01/2022 16:45,3.32,2.1,4.17,4.78,5.58,Normal
Gedong,Samarahan  ,Batang Sadong,Btg. Kerang,21/01/2022 16:45,-0.4,3.1,4.82,5.9,6.3,Normal
Nanga Delok,Sri Aman,Batang Lupar,Btg. Ai,21/01/2022 16:45,13.05,22.0,23.25,23.75,24.05,Normal
Bau Sungai,Sri Aman,Batang Lupar,Btg. Sekerang,21/01/2022 16:45,13.19,13.0,16.0,17.0,20.0,Normal
Enteban 2,Sri Aman,Batang Lupar,Btg. Sekerang,21/01/2022 16:45,2.44,15.0,20.0,22.0,23.0,Normal
Engkilili JKR Wharf,Sri Aman,Batang Lupar,Btg. Lupar,21/01/2022 16:45,4.74,7.11,8.8,9.43,9.79,Normal
Sri Aman Telemetry,Sri Aman,Batang Lupar,Btg. Lupar,21/01/2022 16:45,1.3,3.0,4.9,5.2,5.5,Normal
Pantu,Sri Aman,Batang Lupar,Btg. Seterap,21/01/2022 16:45,3.08,1.8,4.9,5.58,6.3,Normal
Nanga Samu,Betong,Batang Saribas,Btg. Paku,21/01/2022 16:45,2.54,1.45,7.49,8.09,9.79,Normal
Kaki Wong,Betong,Batang Krian,Btg. Krian,21/01/2022 16:45,2.0,3.23,6.06,6.66,7.26,Normal
Roban,Betong,Batang Krian,Sg. Sebelak,21/01/2022 16:45,1.81,3.85,4.6,5.0,5.2,Normal
Telok Ngelengkung,Kapit,Batang Rajang,Btg. Baleh,21/01/2022 16:15,6.6,4.6,11.3,12.3,13.5,Normal
Sambop B,Kapit,Batang Rajang,Btg. Belaga,21/01/2022 16:45,7.7,6.0,15.86,16.85,19.12,Normal
Belaga,Kapit,Batang Rajang,Btg. Belaga,21/01/2022 16:45,42.71,41.06,47.3,50.9,52.0,Normal
Punan Bah B,Kapit,Batang Rajang,Btg. Belaga,21/01/2022 16:45,6.25,5.37,9.0,10.0,11.0,Normal
Nanga Merit,Kapit,Batang Rajang,Btg. Belaga,21/01/2022 16:30,18.67,18.0,20.0,23.0,24.0,Normal
Nanga Entawau,Kapit,Batang Rajang,Btg. Baleh,21/01/2022 16:45,6.56,4.6,11.3,12.3,12.8,Normal
Teluk Buing,Kapit,Batang Rajang,Btg. Baleh,21/01/2022 16:45,5.52,1.98,10.0,11.0,12.0,Normal
